elapsed_s,latency_s,msg_count,version
22,17.709434968078106,211450,Spark 4.2
23,16.716394803295206,172263,Spark 4.2
24,15.800162753910206,151087,Spark 4.2
25,14.67263812442846,123653,Spark 4.2
26,13.777138126268168,115865,Spark 4.2
27,12.67596460544567,197375,Spark 4.2
28,11.742046721714287,186744,Spark 4.2
29,10.750924504668182,241101,Spark 4.2
30,12.484393060113492,231560,Spark 4.2
31,16.68462038856789,252877,Spark 4.2
32,16.208656981219427,241634,Spark 4.2
33,15.25120197954661,185598,Spark 4.2
34,14.223085228176062,163690,Spark 4.2
35,13.193162312229349,124088,Spark 4.2
36,12.181616477481946,163156,Spark 4.2
37,11.144760306186598,166696,Spark 4.2
38,10.153659409417802,199295,Spark 4.2
39,9.290778665990278,248439,Spark 4.2
40,14.208647552771081,277477,Spark 4.2
41,14.791759026033143,193025,Spark 4.2
42,13.790619349310974,186725,Spark 4.2
43,12.684814809332638,114860,Spark 4.2
44,11.749438926143819,87386,Spark 4.2
45,10.833919653625971,152552,Spark 4.2
46,9.728386382280904,185288,Spark 4.2
47,8.790755774721251,181091,Spark 4.2
48,11.079210134802835,174626,Spark 4.2
49,16.24698246386371,258951,Spark 4.2
50,16.04665949925672,276948,Spark 4.2
51,15.04082769576415,202067,Spark 4.2
52,14.035402993285032,234525,Spark 4.2
53,13.03101453005516,205918,Spark 4.2
54,12.026464139350214,186179,Spark 4.2
55,12.202653729418424,204603,Spark 4.2
56,15.044879257148956,203540,Spark 4.2
57,17.949165632477133,281702,Spark 4.2
58,16.9650921862274,256611,Spark 4.2
59,15.937564176050476,197488,Spark 4.2
60,14.974568846990179,176304,Spark 4.2
61,13.972613597743003,187134,Spark 4.2
62,12.968189208329509,177915,Spark 4.2
63,11.945980757556763,196025,Spark 4.2
64,11.052819274326746,194881,Spark 4.2
65,10.029828843303825,168670,Spark 4.2
66,13.154847725211313,207316,Spark 4.2
67,15.206410261042588,254594,Spark 4.2
68,14.264506160429416,247710,Spark 4.2
69,13.286826265975693,235826,Spark 4.2
70,12.251378048780277,236980,Spark 4.2
71,11.21095916260148,228565,Spark 4.2
72,10.201823446459771,221961,Spark 4.2
73,9.244662288862902,192410,Spark 4.2
74,10.230533568173326,207518,Spark 4.2
75,13.66351360311435,159265,Spark 4.2
76,12.862348250821551,181085,Spark 4.2
77,12.32388296790744,215411,Spark 4.2
78,11.347952684929327,215555,Spark 4.2
79,10.370373042150485,244337,Spark 4.2
80,9.355091707017708,224901,Spark 4.2
81,8.328315690334835,245801,Spark 4.2
82,9.90005270825171,257417,Spark 4.2
83,13.50895670152037,223218,Spark 4.2
84,13.513404602914141,256229,Spark 4.2
85,12.506581668952856,215045,Spark 4.2
86,11.499834851452626,230768,Spark 4.2
87,10.503662733895107,225795,Spark 4.2
88,9.505563210076916,269601,Spark 4.2
89,11.677576692070947,248911,Spark 4.2
90,14.668907404529865,238219,Spark 4.2
91,14.657759233953705,248079,Spark 4.2
92,13.669543687780589,245904,Spark 4.2
93,12.674012173436646,222698,Spark 4.2
94,11.67014509408697,222242,Spark 4.2
95,10.6587258085802,212162,Spark 4.2
96,10.480750298043446,238220,Spark 4.2
97,10.701651126312427,213573,Spark 4.2
98,14.423171253863888,223557,Spark 4.2
99,13.643265895082928,258775,Spark 4.2
100,12.91583918892564,287816,Spark 4.2
101,11.921575904009925,207354,Spark 4.2
102,10.966304813161662,245078,Spark 4.2
103,9.916438476408576,247783,Spark 4.2
104,8.93165060039678,209528,Spark 4.2
105,11.19391228562284,210319,Spark 4.2
106,10.382311172962714,232096,Spark 4.2
107,13.310790491837826,256243,Spark 4.2
108,12.342846478595026,212472,Spark 4.2
109,11.338144444135597,215592,Spark 4.2
110,10.346524724985814,209262,Spark 4.2
111,9.311242167732397,228829,Spark 4.2
112,10.462401181084166,242489,Spark 4.2
113,8.713987007005292,225814,Spark 4.2
114,12.731989339088782,242756,Spark 4.2
115,12.085388800786586,276198,Spark 4.2
116,11.078335058748815,230476,Spark 4.2
117,10.088078413508208,251347,Spark 4.2
118,9.104920544848987,246013,Spark 4.2
119,8.108625365045018,256818,Spark 4.2
120,10.961287165040726,230028,Spark 4.2
121,13.403997848196436,218886,Spark 4.2
122,12.391653017076377,195537,Spark 4.2
123,11.39865662411796,156368,Spark 4.2
